nombre,url,categoria
Corporación Financiera de Desarrollo S.A. (COFIDE),https://www.gob.pe/cofide,Por clasificar
Ministerio del Interior (MININTER),https://www.gob.pe/mininter,Por clasificar
Cuerpo General de Bomberos Voluntarios del Perú (CGBVP),https://www.gob.pe/cuerpo-general-de-bomberos-voluntarios-del-peru,Por clasificar
Dirección General de Gobierno Interior (DGIN),https://www.gob.pe/dgin,Por clasificar
Intendencia Nacional de Bomberos del Perú (INBP),https://www.gob.pe/inbp,Por clasificar
"Superintendencia Nacional de Control de Servicios de Seguridad, Armas, Municiones y Explosivos de Uso Civil (SUCAMEC)",https://www.gob.pe/sucamec,Por clasificar
Superintendencia Nacional de Migraciones (MIGRACIONES),https://www.gob.pe/migraciones,Por clasificar
Fondo de Aseguramiento en Salud de la Policía Nacional del Perú (SALUDPOL),https://www.gob.pe/saludpol,Por clasificar
Fondo de Vivienda Policial (FOVIPOL),https://www.gob.pe/fovipol,Por clasificar
Policía Nacional del Perú (PNP),https://www.gob.pe/pnp,Por clasificar
Unidad Ejecutora N° 037: Perú Seguro 2025 (PS2025),https://www.gob.pe/peruseguro2025,Por clasificar
Ministerio de Justicia y Derechos Humanos (MINJUSDH),https://www.gob.pe/minjus,Por clasificar
Web de Ministerio de Justicia y Derechos Humanos,http://www.gob.pe/minjus,Por clasificar
Consejo para la Reforma del Sistema de Justicia (CRSJ),https://www.gob.pe/consejo-de-justicia,Por clasificar
Procuraduría General del Estado (Procuraduría),https://www.gob.pe/procuraduria,Por clasificar
Superintendencia Nacional de los Registros Públicos (SUNARP),https://www.gob.pe/sunarp,Por clasificar
Instituto Nacional Penitenciario - Dirección Regional Altiplano Puno (INPE - DRAP),https://www.gob.pe/inpe-drap,Por clasificar
Instituto Nacional Penitenciario - Dirección Regional Centro (INPE-DRC),https://www.gob.pe/inpe-drc,Por clasificar
Instituto Nacional Penitenciario - Dirección Regional Nor Oriente San Martín (INPE-DRNOSM),https://www.gob.pe/inpe-drnosm,Por clasificar
Instituto Nacional Penitenciario - Dirección Regional Oriente Pucallpa (INPE-OROP),https://www.gob.pe/inpe-orop,Por clasificar
INPE - Oficina Regional Sur (INPE - ORS),https://www.gob.pe/inpe-oficina-regional-sur,Por clasificar
Instituto Nacional Penitenciario - Oficina Regional Sur Oriente Cusco (INPE - ORSO - CUSCO),https://www.gob.pe/instituto-nacional-penitenciario-oficina-regional-sur-oriente-cusco,Por clasificar
Instituto Nacional Penitenciario (INPE),https://www.gob.pe/inpe,Por clasificar
Oficina de Infraestructura Penitenciaria (OIP),https://www.gob.pe/inpe-oip,Por clasificar
Oficina Regional Norte Chiclayo - INPE (INPE - DRN CHICLAYO),https://www.gob.pe/oficina-regional-norte-chiclayo-inpe,Por clasificar
